,구동,상권명,분기당매출,새벽,오전,점심,오후,저녁,야간,남성,여성,주중,주말,10대,20대,30대,40대,50대,60대이상,점포수
0,강남구 개포동,강남개포시장,312689030,0,12,33,28,25,2,43,57,212771413,99917617,14726241,61483835,52175339,68996062,63164727,27453276,27
1,강남구 개포동,강남개포시장,431980344,0,13,32,25,27,4,42,58,298380792,133599552,16658821,77719982,78267535,99778168,76698464,42893767,28
2,강남구 개포동,강남개포시장,424620553,0,15,32,27,24,3,42,58,297685421,126935132,16138673,74810040,76183992,105654369,79630052,39584308,29
3,강남구 개포동,강남개포시장,370069989,0,19,30,26,22,3,48,52,254089188,115980801,17701895,72259547,65485372,93981338,60725292,33237089,20
4,강남구 개포동,국립국악고등학교,47123812,0,15,38,30,16,1,51,49,34991864,12131948,292779,5889626,12103350,11056154,7157426,6266833,3
5,강남구 개포동,국립국악고등학교,59080093,0,12,35,26,23,3,48,52,46599533,12480560,309120,4428453,15046121,11165096,15146891,6366243,3
6,강남구 개포동,국립국악고등학교,59590754,0,10,38,33,19,1,49,51,46162409,13428345,491597,7260920,9619495,14068375,13184591,6044866,3
7,강남구 개포동,국립국악고등학교,52520481,0,8,43,31,18,1,44,56,40596882,11923599,510661,6791113,6818348,12509156,13311235,7512847,3
8,강남구 개포동,포이사거리(삼호물산),1167331619,1,24,44,20,10,1,55,45,1046729479,120602140,1420524,203621727,221547815,141984996,82363113,60118129,79
9,강남구 개포동,포이사거리(삼호물산),1428504444,1,24,43,19,10,3,56,44,1283580967,144923477,5716575,245372665,303965596,195166289,109857509,45984914,82
10,강남구 개포동,포이사거리(삼호물산),1345504748,0,25,44,20,10,1,57,43,1221099583,124405165,6082130,219878813,267563966,178467558,95126856,43350700,82
11,강남구 개포동,포이사거리(삼호물산),1186756667,0,25,45,19,8,2,57,43,1095561682,91194985,6754158,178566869,214554061,160171692,71304268,30559915,84
12,강남구 개포동,포이초등학교(개포목련어린이공원),75790770,0,15,38,30,17,0,49,51,64210906,11579864,1127362,14430116,20737837,16131960,11014904,6062972,12
13,강남구 개포동,포이초등학교(개포목련어린이공원),168345423,0,12,30,35,23,1,42,58,135723098,32622325,4886480,28894661,43469567,53531509,20463604,6883019,15
14,강남구 개포동,포이초등학교(개포목련어린이공원),236100926,0,8,36,34,22,1,40,61,166501215,69599711,6186708,53149110,58394257,64800392,32025221,14512536,17
15,강남구 개포동,포이초등학교(개포목련어린이공원),221870611,0,6,38,33,22,1,50,51,165296681,56573930,5054567,58492165,53872736,51360141,21076312,10948114,17
16,강남구 논현동,경복아파트교차로,623757146,2,23,42,23,8,3,49,51,566079923,57677223,882644,114140021,181678580,113638212,64734002,18751224,24
17,강남구 논현동,경복아파트교차로,1049498716,1,19,47,20,10,2,49,51,948344703,101154013,388353,201699963,311909959,185510625,95319130,39671878,31
18,강남구 논현동,경복아파트교차로,1070710014,2,23,43,24,7,2,51,49,968631836,102078178,1331268,212368402,360118203,171163976,98430347,38583271,33
19,강남구 논현동,경복아파트교차로,1287081226,1,19,47,23,8,2,42,58,1181942311,105138915,2553993,233126845,361038924,287851759,88481803,33248658,39
20,강남구 논현동,논현2동주민센터,153955520,3,20,38,23,14,2,54,46,128220002,25735518,246643,34179884,44169978,28848454,20091152,7456960,18
21,강남구 논현동,논현2동주민센터,259467205,1,17,42,21,17,1,50,50,220846470,38620735,1295279,55720406,81663717,41457052,31686962,12311568,23
22,강남구 논현동,논현2동주민센터,255038212,0,17,41,22,18,2,52,48,219332553,35705659,589378,59133687,79617637,39996637,29282890,11824363,26
23,강남구 논현동,논현2동주민센터,279349087,4,14,36,20,17,9,54,46,223248375,56100712,864578,54324093,82254654,41060908,23951017,12351056,25
24,강남구 논현동,논현목련공원,20152762,14,11,22,25,16,12,64,36,13850422,6302340,74672,8469282,5949220,1676917,1125123,762089,3
25,강남구 논현동,논현목련공원,42746536,7,13,28,20,22,10,68,32,31550328,11196208,350702,12123173,14256227,2741245,1607257,821395,3
26,강남구 논현동,논현목련공원,42944803,9,19,18,25,20,9,69,31,33026779,9918024,753932,12137079,13447191,1892556,2178886,1696348,3
